DE	EN	LEN	ROW	TIME
	After thanking the person who asked,	6	600	00:03:00c
	you need to give an answer,	6	610	00:03:05a
	either accept the invitation,	4	620	00:03:05b
	or don't accept the invitation,	5	630	00:03:05c
	or give a reason why you can't answer.	8	640	00:03:12a
	What does Victor do?	4	650	00:03:16a
	That's very kind of you.	5	660	00:03:16b
	I'll just check with my associate whether they have other arrangements for us.	13	670	00:03:20a
	Victor says he has to check with someone else.	9	680	00:03:26a
	If there are other arrangements,	5	690	00:03:26b
	Victor would make an excuse.	5	700	00:03:26c
	When refusing an invitation,	4	710	00:03:32a
	you should give a reason.	5	720	00:03:32b
	Look at this:	3	730	00:03:32c
	Would you like to join us?	6	740	00:03:38a
	No thanks.	2	750	00:03:39a
	Oh - right.	3	760	00:03:39b
	It's rude just to say no without a reason,	9	770	00:03:46a
	and the reason should be a good one.	8	780	00:03:46b
	Look again.	2	790	00:03:49a
	Would you like to join us?	6	800	00:03:51a
	No thanks, it doesn't sound very interesting.	7	810	00:03:54a
	Oh. Sam would rightly be offended by that reply.	9	820	00:04:00a
	So what are some ways of making a polite excuse?	10	830	00:04:00b
	Listen to Walter.	3	840	00:04:05a
	Yes, would you like to join us?	7	850	00:04:07a
	Unfortunately I have another engagement,	5	860	00:04:07b
	but thank you for the invitation.	6	870	00:04:11a
	Walter doesn't need to say what his other engagement,	9	880	00:04:11b
	or appointment is - just that he has already made another commitment.	12	890	00:04:16a
	Notice that he still thanks Sam for the invitation.	9	900	00:04:24a
	Practise with Walter some other ways of making an excuse.	10	910	00:04:29a
	Unfortunately I have another engagement.	5	920	00:04:34a
	I'm afraid I have another commitment.	6	930	00:04:36a
	I can't I'm sorry.	4	940	00:04:36b
	Perhaps another time?	3	950	00:04:36c
	By saying,	2	960	00:04:36d
	Perhaps another time, Walter is being polite and friendly,	9	970	00:04:46a
	rather than just declining the invitation.	6	980	00:04:46b
	Notice that he says, I can't.	6	990	00:04:53a
	This implies that he has another commitment,	7	1000	00:04:53b
	without having to say what that commitment is.	8	1010	00:04:59a
	This is acceptable in business.	5	1020	00:05:06a
	Sam and Walter make another arrangement.	6	1030	00:05:06b
	Watch how they do this.	5	1040	00:05:10a
	Perhaps you can join us after that for a drink?	10	1050	00:05:12a
	That sounds great.	3	1060	00:05:12b
	I'd be happy to.	4	1070	00:05:12c
	Where shall we meet?	4	1080	00:05:18a
	How about the lounge bar here,	6	1090	00:05:18b
	about ten?	2	1100	00:05:21a
	I'll see you then.	4	1110	00:05:21b
	Sam says,	2	1120	00:05:21c
	Perhaps you could join us after that for a drink?	10	1130	00:05:25a
	By saying perhaps he is leaving the invitation open.	9	1140	00:05:30a
	Walter is under no pressure to accept.	7	1150	00:05:30b
	Practise these phrases using perhaps with Sam.	7	1160	00:05:38a
	Perhaps you'd like to join us later?	7	1170	00:05:45a
	Perhaps you'd be interested in meeting us for breakfast?	9	1180	00:05:51a
	Perhaps we could meet later in the week?	8	1190	00:05:51b
	Notice that Sam says you'd.	5	1200	00:05:51c
	Perhaps you'd like to join us later.	7	1210	00:06:01a
	You'd is short for you would.	6	1220	00:06:08a
	Walter accepts and they make the arrangement.	7	1230	00:06:08b
	Notice the slightly less formal way Walter accepts.	8	1240	00:06:13a
	That sounds great.	3	1250	00:06:13b
	I'd be happy to.	4	1260	00:06:13c
	Where shall we meet?	4	1270	00:06:17a
	You can use these simple phrases to accept an invitation.	10	1280	00:06:21a
	Practise them.	2	1290	00:06:21b
	That sounds great.	3	1300	00:06:28a
	Sounds good.	2	1310	00:06:30a
	I'd love to.	3	1320	00:06:33a
	I'd be happy to.	4	1330	00:06:33b
	Walter says, Where shall we meet?	6	1340	00:06:33c
	You can use shall or will,	6	1350	00:06:40a
	but shall we is a common usage in questions,	9	1360	00:06:40b
	simply because it is easier to say than will we.	10	1370	00:06:48a
	Shall is also used when asking for,	7	1380	00:06:48b
	or making suggestions.	3	1390	00:06:48c
	Let's look at how Sam makes the arrangement:	8	1400	00:06:56a
	How about the lounge bar here,	6	1410	00:06:56b
	at about ten?	3	1420	00:07:02a
	I'll see you then.	4	1430	00:07:02b
	By asking, Where shall we meet?	6	1440	00:07:02c
	Walter is leaving the details of the arrangement up to Sam.	11	1450	00:07:07a
	Sam gives a place and a time,	7	1460	00:07:07b
	but because this is an informal meeting,	7	1470	00:07:14a
	he doesn't make it sound like an appointment.	8	1480	00:07:20a
	He says, How about the lounge bar?	7	1490	00:07:20b
	How about invites the other person to say if it is not convenient.	13	1500	00:07:26a
	And he says, At about ten?	6	1510	00:07:26b
	as a question.	3	1520	00:07:32a
	This also leaves room for the other person to suggest a different time.	13	1530	00:07:32b
	Practise these two phrases with Sam.	6	1540	00:07:39a
	Listen carefully to Sam's voice,	5	1550	00:07:39b
	and whether he uses a rising or falling tone.	9	1560	00:07:45a
	How about the lounge bar here?	6	1570	00:07:51a
	About ten?	2	1580	00:07:51b
	Walter confirms the arrangement by saying,	6	1590	00:07:55a
	I'll see you then.	4	1600	00:07:55b
	This is now a definite commitment,	6	1610	00:07:55c
	and an end to the arrangement.	6	1620	00:08:02a
	Notice how the stress is on the word then,	9	1630	00:08:02b
	to confirm that the time is definite.	7	1640	00:08:02c
	Try saying this:	3	1650	00:08:08a
	I'll see you then.	4	1660	00:08:08b
	Let's have a look now at the end of the scene.	11	1670	00:08:17a
	There are some more useful phrases.	6	1680	00:08:17b
	Mr Tang is joining us for dinner.	7	1690	00:08:21a
	Oh wonderful.	2	1700	00:08:23a
	I hope you don't mind.	5	1710	00:08:24a
	Of course not, you're most welcome.	6	1720	00:08:27a
	Well, shall we make a move?	6	1730	00:08:29a
	Would you mind if I just say goodbye to a few people?	12	1740	00:08:32a
	No problem, we'll see you outside in a few minutes.	10	1750	00:08:32b
	Okay. Victor says, I hope you don't mind.	8	1760	00:08:37a
	It's a polite way of asking for someone else's approval but Lin can't really say no,	16	1770	00:08:42a
	since Victor is listening.	4	1780	00:08:42b
	But Lin politely confirms the arrangement.	6	1790	00:08:50a
	Practise how she does this:	5	1800	00:08:50b
	Of course not.	3	1810	00:08:57a
	You're most welcome.	3	1820	00:08:57b
	What are the main points we've learned today.	8	1830	00:09:03a
	When inviting someone informally,	4	1840	00:09:03b
	make it sound like a suggestion.	6	1850	00:09:03c
	That way, if someone can't accept,	6	1860	00:09:09a
	they don't feel so bad.	5	1870	00:09:09b
	Why don't you join us?	5	1880	00:09:09c
	instead of, I invite you to join us.	8	1890	00:09:18a
	And if you need to make an excuse,	8	1900	00:09:18b
	don't just refuse an invitation -	6	1910	00:09:18c
	give a reason, and apologise.	5	1920	00:09:23a
	I'm sorry, I have another commitment.	6	1930	00:09:23b
	When confirming details, use an upward inflection.	7	1940	00:09:33a
	About ten.	2	1950	00:09:33b
	sounds like an order.	4	1960	00:09:33c
	But, About ten?	3	1970	00:09:33d
	is asking whether it's convenient for the other person.	9	1980	00:09:43a
	That's all for today on the Business of English.	9	1990	00:09:43b
	See you next time.	4	2000	00:09:43c
