DE	EN	LEN	ROW	TIME
	Practise saying Hello, I don't think we've met,	8	410	00:01:49a
	and then say your name.	5	420	00:01:49b
	Hello.	1	430	00:01:49c
	I don't think we've met Victor Tang.	7	440	00:01:57a
	Pleased to meet you.	4	450	00:01:57b
	Victor replied by saying his name and pleased to meet you.	11	460	00:02:02a
	Pleased to meet you is a good formal greeting for most situations.	12	470	00:02:02b
	After Sam introduces himself,	4	480	00:02:10a
	say your name, and 'pleased to meet you'.	8	490	00:02:15a
	Hello, I don't think we've met.	6	500	00:02:15b
	Sam Eriks.	2	510	00:02:18a
	Pleased to meet you.	4	520	00:02:23a
	And the Western tradition is to shake hands when you meet someone.	12	530	00:02:23b
	Usually, when we first meet someone in a business situation,	10	540	00:02:28a
	we want to find out what they do -	9	550	00:02:28b
	what their job, or position is.	6	560	00:02:34a
	Let's see how Victor and Sam do this.	8	570	00:02:39a
	And what company are you from Mr Tang?	8	580	00:02:41a
	OceanWide.	1	590	00:02:41b
	I'm the sales representative for this region.	7	600	00:02:44a
	Ah yes.	2	610	00:02:44b
	I know your company.	4	620	00:02:44c
	Your business is expanding very rapidly at the moment.	9	630	00:02:50a
	Yes, we're doing quite well.	5	640	00:02:50b
	And yourself?	2	650	00:02:50c
	Who do you work for?	5	660	00:02:54a
	Actually I work for myself.	5	670	00:02:54b
	I'm the C.E.O. of a small export and packaging company.	10	680	00:02:57a
	We specialise in seafood.	4	690	00:03:02a
	Sam asks and what company are you from?	8	700	00:03:02b
	There are a few different ways you could ask this question:	11	710	00:03:08a
	Let's try some of them:	5	720	00:03:08b
	What company are you from?	5	730	00:03:16a
	Which company do you represent?	5	740	00:03:21a
	What's your line of business?	5	750	00:03:29a
	Now you try answering Sam's question with your own answer,	10	760	00:03:29b
	saying what company you are from...	6	770	00:03:35a
	And what company are you from?	6	780	00:03:38a
	Ah yes, I know that company.	6	790	00:03:43a
	And you can be more specific by asking about someone's job.	11	800	00:03:43b
	Practise these...	2	810	00:03:48a
	And what's your position there?	5	820	00:03:53a
	And what do you do there?	6	830	00:03:53b
	Position means the same as job,	6	840	00:03:53c
	but it's a more formal term.	6	850	00:04:00a
	Listen to how both Sam and Victor describe their positions:	10	860	00:04:08a
	I'm the sales representative for this region.	7	870	00:04:11a
	I'm the C.E.O. of a small export and packaging company.	10	880	00:04:16a
	We describe our job by saying I am or I'm and then naming the position.	15	890	00:04:16b
	Notice that Sam says he is the C.E.O. or Chief Executive Officer of his company.	15	900	00:04:23a
	When someone asks who you work for,	7	910	00:04:32a
	it can be useful to also tell them what your job is.	12	920	00:04:32b
	When meeting someone, it helps them if you offer information before they ask.	13	930	00:04:39a
	This makes the conversation more relaxed.	6	940	00:04:45a
	Now Sam is going to ask you who you work for and what your position is -	17	950	00:04:45b
	answer his questions with your own answers:	7	960	00:04:52a
	And what company are you from?	6	970	00:04:58a
	I'm from...	2	980	00:04:58b
	Ah yes, I know that company.	6	990	00:05:02a
	And what's your position there?	5	1000	00:05:02b
	I'm the...	2	1010	00:05:06a
	Oh really.	2	1020	00:05:06b
	That's interesting.	2	1030	00:05:06c
	Now, the business of names.	5	1040	00:05:06d
	Should we use formal titles,	5	1050	00:05:13a
	such as Mr, Mrs or Ms, or should we use informal,	11	1060	00:05:13b
	more familiar names.	3	1070	00:05:13c
	Let's see how Victor solves this problem:	7	1080	00:05:22a
	It's a growing market.	4	1090	00:05:25a
	Yes, but a very competitive one Mr Tang.	8	1100	00:05:29a
	Please call me Victor.	4	1110	00:05:31a
	Sam. Sam uses Victor's formal title -	7	1120	00:05:32a
	Mr Tang.	2	1130	00:05:32b
	But Victor says Please call me Victor.	7	1140	00:05:32c
	Now that they have met, it's more comfortable for them to use each other's first names -	17	1150	00:05:40a
	at least in this less formal situation.	7	1160	00:05:45a
	Practise saying Please call me,	5	1170	00:05:45b
	and your first name after Sam's statement.	7	1180	00:05:53a
	Yes, but a very competitive one Mr Tang.	8	1190	00:05:58a
	Please call me...	3	1200	00:05:58b
	Sam introduces Victor to someone else.	6	1210	00:05:58c
	Let's watch how he does this.	6	1220	00:06:06a
	Victor, let me introduce you to someone.	7	1230	00:06:10a
	Lin - this is Victor Tang -	7	1240	00:06:10b
	he's the regional rep.	4	1250	00:06:13a
	for OceanWide.	2	1260	00:06:14a
	This is Lin Chan, my sales manager.	7	1270	00:06:16a
	How do you do Mr Tang?	6	1280	00:06:18a
	I'm very well thank you.	5	1290	00:06:18b
	Nice to meet you Ms Chan.	6	1300	00:06:21a
	Sam says let me introduce you to someone.	8	1310	00:06:21b
	This is a very useful phrase.	6	1320	00:06:21c
	Practise saying it after Sam:	5	1330	00:06:28a
	Let me introduce you to someone.	6	1340	00:06:36a
	When Sam introduces Lin, he has four pieces of information.	10	1350	00:06:36b
	Listen carefully to what they are:	6	1360	00:06:42a
	This is Victor Tang, he's the regional rep.	8	1370	00:06:45a
	for OceanWide.	2	1380	00:06:46a
	This is Lin Chan, my sales manager.	7	1390	00:06:46b
	Did you hear the four parts of Sam's introduction?	9	1400	00:06:52a
	First, he told Lin Victor's full name.	7	1410	00:06:52b
	Second, he told her what Victor's position was and his company name.	12	1420	00:06:58a
	Third, he introduced Lin using her full name,	8	1430	00:07:05a
	and finally he told Victor what Lin's job was.	9	1440	00:07:05b
	This way both Victor and Lin know enough about each other to start a conversation.	15	1450	00:07:14a
	When introducing people at a function,	6	1460	00:07:20a
	it's important to try to make them feel comfortable.	9	1470	00:07:24a
	Finally, listen again to how Lin and Victor greet each other:	11	1480	00:07:29a
	How do you do Mr Tang?	6	1490	00:07:32a
	I'm very well thank you.	5	1500	00:07:34a
	Nice to meet you Ms Chan.	6	1510	00:07:35a
	And you.	2	1520	00:07:35b
	Lin uses the phrase how do you do.	8	1530	00:07:35c
	Practise this phrase:	3	1540	00:07:40a
	How do you do?	4	1550	00:07:44a
	I'm very well thank you.	5	1560	00:07:44b
	How do you do is another formal phrase for introductions.	10	1570	00:07:49a
	Victor replies with a formal phrase too I'm very well thankyou.	11	1580	00:07:49b
	Practise this after Lin's question.	5	1590	00:07:57a
	How do you do Mr Tang?	6	1600	00:08:02a
	I'm very well thank you.	5	1610	00:08:02b
	If someone says How do you do?	7	1620	00:08:02c
	or How are you?	4	1630	00:08:08a
	we usually say I'm very well thankyou.And we could ask them how they are,	14	1640	00:08:08b
	by saying How do you do?	6	1650	00:08:15a
	or How are you?	4	1660	00:08:19a
	Let's review some of the phrases we've learnt today,	9	1670	00:08:19b
	for introducing yourself and other people.	6	1680	00:08:24a
	Practise the phrases with our characters Sam,	7	1690	00:08:24b
	Victor and Lin.	3	1700	00:08:30a
	Hello, I don't think we've met.	6	1710	00:08:35a
	And what company are you from?	6	1720	00:08:39a
	Let me introduce you to someone.	6	1730	00:08:43a
	This is Lin Chan, my sales manager.	7	1740	00:08:49a
	Pleased to meet you.	4	1750	00:08:53a
	Who do you work for?	5	1760	00:08:57a
	Please call me Victor.	4	1770	00:09:01a
	I'm very well thank you.	5	1780	00:09:05a
	How do you do Mr Tang?	6	1790	00:09:08a
	Nice to meet you.	4	1800	00:09:08b
	Remember, when meeting people,	4	1810	00:09:08c
	tell them something about yourself before being asked.	8	1820	00:09:18a
	When you ask people questions about themselves in English,	9	1830	00:09:18b
	use a falling tone - it sounds friendlier.	8	1840	00:09:23a
	Instead of Who do you work for?	7	1850	00:09:23b
	Who do you work for?	5	1860	00:09:31a
	And when introducing a colleague,	5	1870	00:09:31b
	or someone you've met, use the full names of both people,	11	1880	00:09:36a
	and their positions.	3	1890	00:09:38a
	And that's all for today on	6	1900	00:09:38b
	The Business of English.	4	1910	00:09:38c
	I'll see you next time.	5	1920	00:09:38d
