DE	EN	LEN	ROW	TIME
	Another part of saying goodbye can be wishing someone well for the future.	13	850	00:04:21a
	And good luck with your business.	6	860	00:04:21b
	I'm sure it will go well.	6	870	00:04:25a
	And I wish you every success too.	7	880	00:04:25b
	Sam proposes a toast.	4	890	00:04:25c
	Watch how he does this.	5	900	00:04:32a
	Well, I think we should drink a toast to the end of the conference,	14	910	00:04:32b
	and to ourselves.	3	920	00:04:32c
	Here's to us.	3	930	00:04:37a
	Cheers.	1	940	00:04:39a
	Cheers.	1	950	00:04:40a
	Cheers.	1	960	00:04:40b
	This is an informal toast.	5	970	00:04:40c
	Sam says, I think we should drink a toast.	9	980	00:04:48a
	Another phrase he could use is 'Let's drink to'.	9	990	00:04:48b
	For example, 'Let's drink to the end of the conference' or 'Let's drink to our future meeting'.	17	1000	00:04:54a
	Then they clink their glasses together and say 'Cheers'.	9	1010	00:05:02a
	Here's another version of the toast:	6	1020	00:05:02b
	Let's drink to our next meeting.	6	1030	00:05:08a
	Our next meeting!	3	1040	00:05:09a
	Cheers And of course, the toast doesn't have to be alcohol,	11	1050	00:05:15a
	it can be any kind of drink.	7	1060	00:05:19a
	The next part of their conversation is about keeping in touch,	11	1070	00:05:19b
	or keeping in contact.	4	1080	00:05:26a
	We should keep in touch.	5	1090	00:05:27a
	Yes. Have I given you my card?	7	1100	00:05:32a
	No - thanks very much.	5	1110	00:05:32b
	Here's mine.	2	1120	00:05:35a
	Do you have a card Lin?	6	1130	00:05:39a
	Yes. Thank you.	3	1140	00:05:40a
	I'll send you an email.	5	1150	00:05:40b
	Repeat the phrases after Sam.	5	1160	00:05:47a
	We must keep in touch.	5	1170	00:05:51a
	We must keep in contact.	5	1180	00:05:56a
	Here's my card.	3	1190	00:05:59a
	Would you like my card?	5	1200	00:06:01a
	Do you have a card?	5	1210	00:06:01b
	The next part of their conversation is about meeting again.	10	1220	00:06:08a
	Listen:	1	1230	00:06:08b
	And if you're ever in Singapore,	6	1240	00:06:08c
	you must look me up.	5	1250	00:06:13a
	We certainly will.	3	1260	00:06:13b
	And you have my number.	5	1270	00:06:13c
	When you're next in Sydney,	5	1280	00:06:13d
	give me a call we'll have a drink.	8	1290	00:06:18a
	To 'look someone up' just means to arrange a meeting.	10	1300	00:06:22a
	When Victor says, You must look me up,	8	1310	00:06:22b
	he is inviting Sam and Lin to meet him if they are in Singapore.	14	1320	00:06:29a
	This is more of a social invitation,	7	1330	00:06:29b
	than a business one.	4	1340	00:06:36a
	Using the word 'must' is not like an order here -	11	1350	00:06:36b
	it suggests that Victor will be very happy if Sam sees him in Singapore.	14	1360	00:06:45a
	In the same way, Sam says,	6	1370	00:06:45b
	Give me a call to Victor.	6	1380	00:06:45c
	It sounds like an order, but in fact it's an invitation.	11	1390	00:06:51a
	It's important to get the intonation -	7	1400	00:06:51b
	the way you say it - right,	7	1410	00:06:59a
	so that it sounds like an invitation,	7	1420	00:06:59b
	and not an order.	4	1430	00:07:03a
	You must look me up when you're in Singapore.	9	1440	00:07:05a
	And if I don't?	4	1450	00:07:06a
	I'll never speak to you again!	6	1460	00:07:06b
	Practise these kinds of invitations with Victor.	7	1470	00:07:13a
	You must look me up next time you're in town.	10	1480	00:07:19a
	You must come and see me.	6	1490	00:07:24a
	Why don't you give me a call when you're in town?	11	1500	00:07:29a
	Ring me if you're in town.	6	1510	00:07:29b
	Finally let's look at how the three friends say goodbye.	10	1520	00:07:36a
	Remember this is a semi-formal situation.	6	1530	00:07:41a
	Well, I'd better get going or I'll miss my flight.	10	1540	00:07:44a
	Have a good flight home.	5	1550	00:07:44b
	Bon voyage.	2	1560	00:07:47a
	Goodbye.	1	1570	00:07:47b
	Until next time.	3	1580	00:07:50a
	Goodbye.	1	1590	00:07:50b
	There are a few ways of saying goodbye but the simplest and best is simply 'good bye'.	17	1600	00:07:54a
	Sam says bon voyage - a French phrase which is also quite common for someone who is travelling.	18	1610	00:08:02a
	Now, let's review and practise some of the phrases we've learnt today.	12	1620	00:08:11a
	It's been a pleasure to meet you.	7	1630	00:08:16a
	I'm sure we'll meet again.	5	1640	00:08:20a
	We must keep in touch.	5	1650	00:08:21a
	Give me a call when you're in town.	8	1660	00:08:29a
	I've enjoyed meeting you.	4	1670	00:08:32a
	I wish you every success for the future.	8	1680	00:08:35a
	May I give you my card?	6	1690	00:08:41a
	Best wishes for the future.	5	1700	00:08:42a
	I hope you have a good flight home.	8	1710	00:08:42b
	The language you use in each situation may be slightly different depending on how well you know	17	1720	00:08:51a
	the other people, and how friendly you are with them.	10	1730	00:08:56a
	If the situation is social,	5	1740	00:08:56b
	and you have become quite friendly,	6	1750	00:08:56c
	you may use slightly less formal language.	7	1760	00:09:03a
	But it's important not to forget the usual expressions of good wishes -	13	1770	00:09:09a
	such as for a good flight home,	7	1780	00:09:09b
	and to say how you've enjoyed meeting the other person.	10	1790	00:09:15a
	But don't go too far.	5	1800	00:09:15b
	Well, I'd better get going or I'll miss my flight.	10	1810	00:09:23a
	I'm going to miss you Victor.	6	1820	00:09:25a
	So am I.	3	1830	00:09:25b
	What will we do without you?	6	1840	00:09:28a
	Be strong.	2	1850	00:09:29a
	Will we meet again?	4	1860	00:09:31a
	I know we will.	4	1870	00:09:35a
	Goodbye.	1	1880	00:09:36a
	Goodbye Victor - and bon voyage.	6	1890	00:09:37a
	You forgot my card!	4	1900	00:09:37b
	Well, I've enjoyed helping you with	6	1910	00:09:37c
	The Business of English, and I hope you've enjoyed learning some useful phrases and expressions	15	1920	00:09:44a
	in English and that you'll be able to put them into practice soon.	13	1930	00:09:52a
	Goodbye and good luck!	4	1940	00:09:52b
