DE	EN	LEN	ROW	TIME
Wir können natürlich Sicherheiten geben.	We can provide security of course.	6	250	00:01:12a
Ich denke, das wäre akzeptabel.	I think that would be acceptable.	6	260	00:01:12b
Leider müsste ich dafür die Zustimmung des Vorstands einholen.	Unfortunately, I would need to get Board approval for it.	10	270	00:01:19a
Das ist selbstverständlich.	Of course.	2	280	00:01:20a
Dann denke ich, dass wir eine Vereinbarung haben könnten!	Then I think we might have a deal!	8	290	00:01:22a
Im Prinzip.	In principle.	2	300	00:01:22b
Zeit zum Feiern!	Time to celebrate!	3	310	00:01:33a
	In negotiations, it's usual for each side to have conditions that make the deal better,	15	320	00:01:38a
	or safer for them.	4	330	00:01:38b
	A condition is a change in the terms of a deal which is necessary before one side or the other	20	340	00:01:45a
	agrees.	1	350	00:01:45b
	Yes, well, we're prepared to consider your offer Ms Chan,	10	360	00:01:50a
	if you can accept some conditions.	6	370	00:01:50b
Beachten Sie, dass Victor die Sprache vorsichtig verwendet.	Notice that Victor uses language carefully.	6	380	00:01:59a
Er sagt nicht, dass wir mit Ihrem Angebot einverstanden sind,	He doesn't say we agree to your offer,	8	390	00:01:59b
er sagt, dass wir bereit sind, Ihr Angebot in Betracht zu ziehen.	he says we're prepared to consider your offer.	8	400	00:02:06a
	He is signalling to the other side that there is a chance for agreement by using the word consider,	19	410	00:02:11a
	which means think about .	5	420	00:02:14a
Dann macht er dies zur Bedingung, indem er sagt,	He then makes this conditional by saying,	7	430	00:02:14b
wenn Sie einige Bedingungen akzeptieren können.	if you can accept some conditions.	6	440	00:02:14c
Im Englischen wird die Verwendung des Wortes "if" in dieser Weise als Bedingung bezeichnet.	In English, using the word 'if' in this way is called a conditional.	13	450	00:02:26a
Victor sagt: "Wir können Ihr Angebot in Betracht ziehen, wenn Sie einige Bedingungen akzeptieren können.	Victor is saying, We can consider your offer if you can accept some conditions.	14	460	00:02:26b
Ein Teil des Satzes ist an eine Bedingung geknüpft,	One part of the sentence is conditional on,	8	470	00:02:33a
oder abhängig vom anderen.	or depending on the other.	5	480	00:02:37a
	The negative is also true.	5	490	00:02:37b
	If they can't accept the conditions,	6	500	00:02:37c
	Victor can't consider the offer.	5	510	00:02:45a
	Notice that Sue adds:	4	520	00:02:45b
	subject to consideration by the board.	6	530	00:02:45c
	Subject to' is another type of conditional phrase.	8	540	00:02:52a
	She means, We can agree if the board agrees.	9	550	00:03:00a
	Subject to' is a legal phrase meaning 'only if',	9	560	00:03:00b
	or 'only after'.	3	570	00:03:00c
	There are a number of expressions you can use when giving a condition.	13	580	00:03:06a
	Try them after me:	4	590	00:03:12a
vorbehaltlich der Zustimmung des Vorstands.	subject to the board's agreement.	5	600	00:03:17a
unter der Bedingung der Zustimmung des Vorstands.	conditional on the board's agreement.	5	610	00:03:22a
sofern der Vorstand zustimmt.	providing that the board agrees.	5	620	00:03:26a
solange der Vorstand zustimmt.	as long as the board agrees.	6	630	00:03:31a
unter der Bedingung, dass der Vorstand zustimmt.	on condition that the board agrees.	6	640	00:03:31b
	Let's look now at Victor's first condition.	7	650	00:03:41a
	Firstly the price you're proposing.	5	660	00:03:41b
	Would that be variable depending on currency fluctuations?	8	670	00:03:47a
	The issue is that we're in an unstable environment at the moment -	13	680	00:03:47b
	the exchange rate could affect us negatively.	7	690	00:03:52a
	When Victor is talking about conditions -	7	700	00:03:52b
	he is exploring various scenarios -	6	710	00:03:56a
	or things that could happen.	5	720	00:04:01a
	Notice that he explains what the problem is.	8	730	00:04:01b
	He says,	2	740	00:04:01c
	The issue is that we're in an unstable environment.	9	750	00:04:10a
	The issue' means the problem,	5	760	00:04:10b
	or the thing that needs discussing.	6	770	00:04:15a
	Practise with Victor some ways of introducing a problem.	9	780	00:04:19a
	The issue is the exchange rate.	6	790	00:04:24a
	The problem is the exchange rate.	6	800	00:04:29a
	The difficulty we have is with the exchange rate.	9	810	00:04:35a
	One thing that could happen is that the exchange rate,	10	820	00:04:35b
	the amount of money you can exchange in one currency for another,	12	830	00:04:40a
	may change.	2	840	00:04:40b
	Notice that Victor uses the words 'would' and 'could'.	9	850	00:04:48a
	Would' is like a conditional.	5	860	00:04:48b
	One thing might result in another thing happening.	8	870	00:04:54a
	The exchange rate might change.	5	880	00:04:58a
	Victor is talking about the price for their product.	9	890	00:04:58b
	He asks, Would that be variable depending on currency fluctuations?'Fluctuations are changes.	12	900	00:05:03a
	We can express this another way:	6	910	00:05:13a
	If the currency changes, will the price change?	8	920	00:05:13b
	Could' is used to express a possibility -	8	930	00:05:13c
	something that might happen.	4	940	00:05:24a
	Victor says, the exchange rate could affect us negatively.	9	950	00:05:24b
	Notice that you can say something will affect you negatively -	11	960	00:05:31a
	it will have a negative, or bad effect,	8	970	00:05:31b
	or positively - it will have a positive,	8	980	00:05:37a
	or good effect.	3	990	00:05:41a
	What is Lin's response to this first condition,	8	1000	00:05:41b
	or concern of Victor's?	4	1010	00:05:45a
	We could consider hedging against currency in both directions.	9	1020	00:05:50a
	That would be acceptable.	4	1030	00:05:50b
	Like Victor, Lin is being careful.	6	1040	00:05:50c
	She uses the word 'consider' rather than just agreeing.	9	1050	00:05:56a
	She's waiting until the whole deal is clear.	8	1060	00:06:04a
	We can give both questions and answers using these 'could' and 'would' phrases.	13	1070	00:06:04b
	Practise them after Lin and Victor.	6	1080	00:06:10a
	Would you consider hedging against currency?	6	1090	00:06:15a
	Would you agree to hedging against currency?	7	1100	00:06:25a
	We could consider hedging against currency.	6	1110	00:06:31a
	We could agree to hedging against currency.	7	1120	00:06:31b
	Sue comments:	2	1130	00:06:31c
	That would be acceptable.	4	1140	00:06:31d
	Acceptable' simply means able to be accepted.	7	1150	00:06:40a
	They can agree to this solution.	6	1160	00:06:40b
	Practise with Sue some phrases you can use to agree,	10	1170	00:06:48a
	and disagree, to conditions.	4	1180	00:06:54a
	That would be acceptable.	4	1190	00:06:58a
	We can agree to that.	5	1200	00:06:59a
	We would be agreeable to that.	6	1210	00:07:03a
	That wouldn't be acceptable I'm afraid.	6	1220	00:07:10a
	I'm afraid we can't agree to that.	7	1230	00:07:15a
	We wouldn't be agreeable to that.	6	1240	00:07:15b
	Notice that to 'agree with' someone,	6	1250	00:07:15c
	is to think they are right.	6	1260	00:07:22a
	To 'agree to' something, is to accept a proposal.	9	1270	00:07:28a
	What is Victor's second condition?	5	1280	00:07:28b
	Let's see.	2	1290	00:07:28c
	If we do get large orders,	6	1300	00:07:28d
	we need to guarantee delivery -	6	1310	00:07:34a
	so we need to stockpile.	5	1320	00:07:34b
	The difficulty there is the capital outlay.	7	1330	00:07:34c
	How would you feel about a partial offset against our sales?	11	1340	00:07:40a
	You might use the phrase 'how would you feel about' something if you think it may be a difficult	19	1350	00:07:47a
	condition for the other side to accept.	7	1360	00:07:51a
	Sue puts this proposal a different way.	7	1370	00:07:57a
	Would you be agreeable to a deferred payment?	8	1380	00:07:57b
	We can provide security of course.	6	1390	00:08:02a
	I think that would be acceptable.	6	1400	00:08:02b
	Unfortunately, I would need to get Board approval for it.	10	1410	00:08:09a
	Sue uses the phrase would you be agreeable Would you be agreeable to a deferred payment?	16	1420	00:08:15a
	A deferred payment is when you pay later for something you buy.	12	1430	00:08:15b
	Lin thinks this condition is acceptable,	6	1440	00:08:22a
	but she makes it conditional on Board approval by saying,	10	1450	00:08:22b
	I would need to get Board approval.	7	1460	00:08:27a
	Notice the stress on would .	6	1470	00:08:27b
	Practise some phrases you can use for this type of condition.	11	1480	00:08:35a
	That would have to have Board approval.	7	1490	00:08:43a
	The Board would need to approve that.	7	1500	00:08:48a
	That would be subject to Board approval.	7	1510	00:08:48b
	Sometimes conditions depend on other conditions.	6	1520	00:08:58a
	One side might say, We agree to your condition if	10	1530	00:09:03a
	So it's very important when negotiating to listen for words that signal a condition:	14	1540	00:09:08a
	words like if, could, would,	5	1550	00:09:08b
	provided or providing, as long as and subject to.	9	1560	00:09:18a
	And words that might signal a problem,	7	1570	00:09:18b
	such as problem, unfortunately,	4	1580	00:09:22a
	and however .	3	1590	00:09:27a
	Notice that even at the end,	6	1600	00:09:27b
	they are being careful about what they say.	8	1610	00:09:32a
	Then I think we might have a deal!	8	1620	00:09:34a
	In principle.	2	1630	00:09:34b
	Lin agrees in principle.	4	1640	00:09:34c
	This means they have agreed on terms among themselves,	9	1650	00:09:40a
	but as she needs Board approval,	6	1660	00:09:40b
	she can't authorise the agreement right now.	7	1670	00:09:48a
	And right now we've reached the end of today's program.	10	1680	00:09:48b
	See you next time on the Business of English.	9	1690	00:09:53a
